SQL> start /home/bquant/COEN178/labs/lab5/queries1.sql

Procedure created.

No errors.

PL/SQL procedure successfully completed.


NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Donovan                   assistant                600000                       
Fernkas                   janitor                 1000000                       
Godfrey                   director                 100000                       
Greenawalt                assistant                600000                       
Jones                     manager                  500000                       
Kumar                     manager                  500000                       
Ledbetter                 manager                  500000                       
Lipton                    supervisor               800000                       
Luck                      manager                  500000                       
Mastromonaco              director                 100000                       
Millett                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Odintz                    director                 100000                       
Roberts                   manager                  500000                       
Rundlet                   director                 100000                       
Stoneman                  supervisor               800000                       
Tseggai                   janitor                 1000000                       
Vega                      director                 100000                       
Andrias                   advisor                  130000                       
Bisi                      assistant                600000                       
Blount                    supervisor               800000                       
Brooke                    manager                  500000                       
Campbell                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Dale                      manager                  500000                       
Fergenson                 assistant                600000                       
Gibbs                     director                 100000                       
Hable                     director                 100000                       
Hitchcock                 director                 100000                       
Keenan                    manager                  500000                       
Kohnke                    manager                  500000                       
Lipsky                    assistant                600000                       
Whitty                    janitor                 1000000                       
Wilson                    manager                  500000                       
Sher                      director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Beverly                   supervisor               800000                       
Ortiz                     director                 100000                       
Maher                     manager                  500000                       
Messina                   director                 100000                       
Newell                    advisor                  130000                       
Noel                      manager                  500000                       
Oleske                    supervisor               800000                       
Page                      janitor                 1000000                       
Psaki                     supervisor               800000                       
Reinstein                 assistant                600000                       
Roche                     janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sathe                     assistant                600000                       
Schulman                  supervisor               800000                       
Seymour                   manager                  500000                       
Shapiro                   manager                  500000                       
Shaw                      manager                  500000                       
Showers                   manager                  500000                       
Siegel                    supervisor               800000                       
Sirbu                     supervisor               800000                       
Stephens                  manager                  500000                       
Sutton                    supervisor               800000                       
Terry                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Vanderslice               manager                  500000                       
Adams                     director                 100000                       
Alley                     director                 100000                       
Anello                    janitor                 1000000                       
Barnes                    assistant                600000                       
Bates                     advisor                  130000                       
Bedingfield               manager                  500000                       
Chaifetz                  assistant                600000                       
Clarke                    supervisor               800000                       
Cobbina                   janitor                 1000000                       
Crutchfield               janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Dalheim                   supervisor               800000                       
Ealons                    supervisor               800000                       
Escobar                   director                 100000                       
Farrell                   assistant                600000                       
Gaspard                   supervisor               800000                       
Groth                     director                 100000                       
Heimbach                  supervisor               800000                       
Jawando                   supervisor               800000                       
Kennedy                   manager                  500000                       
Konwinski                 advisor                  130000                       
Lewis                     janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Liddell-Westefeld         director                 100000                       
Limon                     director                 100000                       
Loeb                      supervisor               800000                       
London                    manager                  500000                       
Wear                      advisor                  130000                       
Yeager Kaplan             assistant                600000                       
Lynn                      assistant                600000                       
McCarthy                  director                 100000                       
McGuire                   advisor                  130000                       
Mosteller                 director                 100000                       
Murtha                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Papas                     advisor                  130000                       
Paulsen                   director                 100000                       
Raizk                     janitor                 1000000                       
Reed                      director                 100000                       
Sass                      manager                  500000                       
Schafer                   janitor                 1000000                       
Starkey                   manager                  500000                       
Swanson                   janitor                 1000000                       
Tchen                     supervisor               800000                       
Agnew                     director                 100000                       
Beliveau                  supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Brennan                   manager                  500000                       
Carrier                   director                 100000                       
Cherlin                   assistant                600000                       
Cokley                    supervisor               800000                       
Cuellar                   assistant                600000                       
Deese                     assistant                600000                       
Donilon                   manager                  500000                       
Fernandez                 janitor                 1000000                       
Frankel                   manager                  500000                       
Gonzalez                  janitor                 1000000                       
Hopkins                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Inouye                    assistant                600000                       
Larus                     supervisor               800000                       
Watson                    director                 100000                       
Lovett                    assistant                600000                       
Martin                    manager                  500000                       
Mattson                   director                 100000                       
Milakofsky                manager                  500000                       
Miranda                   manager                  500000                       
Muntz                     advisor                  130000                       
Pojman                    advisor                  130000                       
Rodriguez                 director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Thomas                    supervisor               800000                       
Belive                    supervisor               800000                       
Brundage                  supervisor               800000                       
Cardwell                  assistant                600000                       
Corrigan                  assistant                600000                       
Crowley                   director                 100000                       
Edgerton                  manager                  500000                       
Eisen                     advisor                  130000                       
Favreau                   assistant                600000                       
Gottry                    manager                  500000                       
Green                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hughes                    assistant                600000                       
Juska                     janitor                 1000000                       
Kammerer                  director                 100000                       
Kommareddi                advisor                  130000                       
LaBolt                    manager                  500000                       
Lerner                    assistant                600000                       
Zichal                    janitor                 1000000                       
Lu                        director                 100000                       
Narechania                director                 100000                       
Pipkins                   manager                  500000                       
Portilla                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Richardson                assistant                600000                       
Roach                     manager                  500000                       
Samuels                   manager                  500000                       
Schmuck                   assistant                600000                       
Skoczek                   director                 100000                       
Trainor                   assistant                600000                       
Turk                      manager                  500000                       
Vogel                     janitor                 1000000                       
Ayling                    advisor                  130000                       
Binns                     janitor                 1000000                       
Bond                      manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Brewer                    manager                  500000                       
Campos                    manager                  500000                       
Claude                    manager                  500000                       
Davis                     advisor                  130000                       
Edwards                   director                 100000                       
Faulman                   assistant                600000                       
Hegde                     janitor                 1000000                       
Hiatt                     manager                  500000                       
Kochman                   supervisor               800000                       
Koo                       assistant                600000                       
Lartey                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lelyveld                  manager                  500000                       
Lezotte                   supervisor               800000                       
Lillie                    supervisor               800000                       
Wade                      supervisor               800000                       
Maska                     manager                  500000                       
Metcalf                   assistant                600000                       
Neralla                   supervisor               800000                       
Papa                      advisor                  130000                       
